date.local,location,value,unit,latitude,longitude
2020-11-17,London Eltham,7.3076923076923075,µg/m³,51.45258,0.070766
2020-11-17,London Harlington,4.45,µg/m³,51.48879,-0.441614
2020-11-17,London Marylebone Road,9.0,µg/m³,51.52253,-0.154611
2020-11-17,London N. Kensington,5.0,µg/m³,51.52105,-0.213492
2020-11-17,London Teddington Bushy Park,5.25,µg/m³,51.425286,-0.345606
2020-11-17,London Westminster,6.714285714285714,µg/m³,51.49467,-0.131931
2020-11-17,Southend-on-Sea,4.9523809523809526,µg/m³,51.544206,0.678408
2020-11-18,London Eltham,7.541666666666667,µg/m³,51.45258,0.070766
2020-11-18,London Harlington,5.304347826086956,µg/m³,51.48879,-0.441614
2020-11-18,London Marylebone Road,10.375,µg/m³,51.52253,-0.154611
2020-11-18,London N. Kensington,5.666666666666667,µg/m³,51.52105,-0.213492
2020-11-18,London Teddington Bushy Park,5.869565217391305,µg/m³,51.425286,-0.345606
2020-11-18,London Westminster,8.375,µg/m³,51.49467,-0.131931
2020-11-18,Southend-on-Sea,5.291666666666667,µg/m³,51.544206,0.678408
2020-11-19,London Eltham,7.416666666666667,µg/m³,51.45258,0.070766
2020-11-19,London Harlington,4.782608695652174,µg/m³,51.48879,-0.441614
2020-11-19,London Marylebone Road,9.583333333333334,µg/m³,51.52253,-0.154611
2020-11-19,London N. Kensington,5.166666666666667,µg/m³,51.52105,-0.213492
2020-11-19,London Teddington Bushy Park,5.521739130434782,µg/m³,51.425286,-0.345606
2020-11-19,London Westminster,8.0,µg/m³,51.49467,-0.131931
2020-11-19,Southend-on-Sea,7.166666666666667,µg/m³,51.544206,0.678408
2020-11-20,London Eltham,9.041666666666666,µg/m³,51.45258,0.070766
2020-11-20,London Harlington,6.521739130434782,µg/m³,51.48879,-0.441614
2020-11-20,London Marylebone Road,11.5,µg/m³,51.52253,-0.154611
2020-11-20,London N. Kensington,6.25,µg/m³,51.52105,-0.213492
2020-11-20,London Teddington Bushy Park,6.565217391304348,µg/m³,51.425286,-0.345606
2020-11-20,London Westminster,9.375,µg/m³,51.49467,-0.131931
2020-11-20,Southend-on-Sea,6.291666666666667,µg/m³,51.544206,0.678408
2020-11-21,London Eltham,6.571428571428571,µg/m³,51.45258,0.070766
2020-11-21,London Harlington,3.8095238095238093,µg/m³,51.48879,-0.441614
2020-11-21,London Marylebone Road,8.727272727272727,µg/m³,51.52253,-0.154611
2020-11-21,London N. Kensington,4.2272727272727275,µg/m³,51.52105,-0.213492
2020-11-21,London Teddington Bushy Park,4.523809523809524,µg/m³,51.425286,-0.345606
2020-11-21,London Westminster,7.318181818181818,µg/m³,51.49467,-0.131931
2020-11-21,Southend-on-Sea,4.090909090909091,µg/m³,51.544206,0.678408
2020-11-22,London Eltham,6.857142857142857,µg/m³,51.45258,0.070766
2020-11-22,London Harlington,3.142857142857143,µg/m³,51.48879,-0.441614
2020-11-22,London Marylebone Road,7.785714285714286,µg/m³,51.52253,-0.154611
2020-11-22,London N. Kensington,3.357142857142857,µg/m³,51.52105,-0.213492
2020-11-22,London Teddington Bushy Park,4.153846153846154,µg/m³,51.425286,-0.345606
2020-11-22,London Westminster,6.0,µg/m³,51.49467,-0.131931
2020-11-22,Southend-on-Sea,3.8461538461538463,µg/m³,51.544206,0.678408
2020-11-23,London Eltham,12.695652173913043,µg/m³,51.45258,0.070766
2020-11-23,London Harlington,11.173913043478262,µg/m³,51.48879,-0.441614
2020-11-23,London Marylebone Road,15.833333333333334,µg/m³,51.52253,-0.154611
2020-11-23,London N. Kensington,10.375,µg/m³,51.52105,-0.213492
2020-11-23,London Teddington Bushy Park,10.136363636363637,µg/m³,51.425286,-0.345606
2020-11-23,London Westminster,12.478260869565217,µg/m³,51.49467,-0.131931
2020-11-23,Southend-on-Sea,10.304347826086957,µg/m³,51.544206,0.678408
2020-11-24,London Eltham,9.541666666666666,µg/m³,51.45258,0.070766
2020-11-24,London Harlington,6.782608695652174,µg/m³,51.48879,-0.441614
2020-11-24,London Marylebone Road,13.75,µg/m³,51.52253,-0.154611
2020-11-24,London N. Kensington,6.333333333333333,µg/m³,51.52105,-0.213492
2020-11-24,London Teddington Bushy Park,6.304347826086956,µg/m³,51.425286,-0.345606
2020-11-24,London Westminster,10.083333333333334,µg/m³,51.49467,-0.131931
2020-11-24,Southend-on-Sea,6.166666666666667,µg/m³,51.544206,0.678408
2020-11-25,London Eltham,12.333333333333334,µg/m³,51.45258,0.070766
2020-11-25,London Harlington,10.0,µg/m³,51.48879,-0.441614
2020-11-25,London Marylebone Road,15.833333333333334,µg/m³,51.52253,-0.154611
2020-11-25,London N. Kensington,8.666666666666666,µg/m³,51.52105,-0.213492
2020-11-25,London Teddington Bushy Park,9.5,µg/m³,51.425286,-0.345606
2020-11-25,London Westminster,12.428571428571429,µg/m³,51.49467,-0.131931
2020-11-25,Southend-on-Sea,10.285714285714286,µg/m³,51.544206,0.678408
2020-11-26,London Eltham,14.076923076923077,µg/m³,51.45258,0.070766
2020-11-26,London Harlington,10.0,µg/m³,51.48879,-0.441614
2020-11-26,London Marylebone Road,13.538461538461538,µg/m³,51.52253,-0.154611
2020-11-26,London N. Kensington,9.076923076923077,µg/m³,51.52105,-0.213492
2020-11-26,London Teddington Bushy Park,11.692307692307692,µg/m³,51.425286,-0.345606
2020-11-26,London Westminster,12.642857142857142,µg/m³,51.49467,-0.131931
2020-11-26,Southend-on-Sea,12.714285714285714,µg/m³,51.544206,0.678408
2020-11-27,London Eltham,22.75,µg/m³,51.45258,0.070766
2020-11-27,London Harlington,14.695652173913043,µg/m³,51.48879,-0.441614
2020-11-27,London Marylebone Road,18.583333333333332,µg/m³,51.52253,-0.154611
2020-11-27,London N. Kensington,16.666666666666668,µg/m³,51.52105,-0.213492
2020-11-27,London Teddington Bushy Park,19.08695652173913,µg/m³,51.425286,-0.345606
2020-11-27,London Westminster,21.333333333333332,µg/m³,51.49467,-0.131931
2020-11-27,Southend-on-Sea,18.0,µg/m³,51.544206,0.678408
2020-11-28,London Eltham,32.75,µg/m³,51.45258,0.070766
2020-11-28,London Harlington,25.681818181818183,µg/m³,51.48879,-0.441614
2020-11-28,London Marylebone Road,30.958333333333332,µg/m³,51.52253,-0.154611
2020-11-28,London N. Kensington,26.958333333333332,µg/m³,51.52105,-0.213492
2020-11-28,London Teddington Bushy Park,29.26086956521739,µg/m³,51.425286,-0.345606
2020-11-28,London Westminster,33.291666666666664,µg/m³,51.49467,-0.131931
2020-11-28,Southend-on-Sea,29.166666666666668,µg/m³,51.544206,0.678408
2020-11-29,London Eltham,34.875,µg/m³,51.45258,0.070766
2020-11-29,London Harlington,30.75,µg/m³,51.48879,-0.441614
2020-11-29,London Marylebone Road,31.291666666666668,µg/m³,51.52253,-0.154611
2020-11-29,London N. Kensington,28.666666666666668,µg/m³,51.52105,-0.213492
2020-11-29,London Teddington Bushy Park,30.695652173913043,µg/m³,51.425286,-0.345606
2020-11-29,London Westminster,34.583333333333336,µg/m³,51.49467,-0.131931
2020-11-29,Southend-on-Sea,30.041666666666668,µg/m³,51.544206,0.678408
2020-11-30,London Eltham,27.125,µg/m³,51.45258,0.070766
2020-11-30,London Harlington,20.08695652173913,µg/m³,51.48879,-0.441614
2020-11-30,London Marylebone Road,25.083333333333332,µg/m³,51.52253,-0.154611
2020-11-30,London N. Kensington,18.666666666666668,µg/m³,51.52105,-0.213492
2020-11-30,London Teddington Bushy Park,21.136363636363637,µg/m³,51.425286,-0.345606
2020-11-30,London Westminster,25.541666666666668,µg/m³,51.49467,-0.131931
2020-11-30,Southend-on-Sea,23.291666666666668,µg/m³,51.544206,0.678408
2020-12-01,London Eltham,10.833333333333334,µg/m³,51.45258,0.070766
2020-12-01,London Harlington,6.7272727272727275,µg/m³,51.48879,-0.441614
2020-12-01,London Marylebone Road,14.625,µg/m³,51.52253,-0.154611
2020-12-01,London N. Kensington,6.375,µg/m³,51.52105,-0.213492
2020-12-01,London Teddington Bushy Park,7.217391304347826,µg/m³,51.425286,-0.345606
2020-12-01,London Westminster,9.708333333333334,µg/m³,51.49467,-0.131931
2020-12-01,Southend-on-Sea,7.916666666666667,µg/m³,51.544206,0.678408
2020-12-02,London Eltham,11.1,µg/m³,51.45258,0.070766
2020-12-02,London Harlington,11.8,µg/m³,51.48879,-0.441614
2020-12-02,London Marylebone Road,13.05,µg/m³,51.52253,-0.154611
2020-12-02,London N. Kensington,8.7,µg/m³,51.52105,-0.213492
2020-12-02,London Teddington Bushy Park,10.31578947368421,µg/m³,51.425286,-0.345606
2020-12-02,London Westminster,11.7,µg/m³,51.49467,-0.131931
2020-12-02,Southend-on-Sea,8.3,µg/m³,51.544206,0.678408
2020-12-03,London Eltham,12.76923076923077,µg/m³,51.45258,0.070766
2020-12-03,London Harlington,6.25,µg/m³,51.48879,-0.441614
2020-12-03,London Marylebone Road,14.692307692307692,µg/m³,51.52253,-0.154611
2020-12-03,London N. Kensington,8.76923076923077,µg/m³,51.52105,-0.213492
2020-12-03,London Teddington Bushy Park,9.083333333333334,µg/m³,51.425286,-0.345606
2020-12-03,London Westminster,12.23076923076923,µg/m³,51.49467,-0.131931
2020-12-03,Southend-on-Sea,9.692307692307692,µg/m³,51.544206,0.678408
2020-12-04,London Eltham,9.791666666666666,µg/m³,51.45258,0.070766
2020-12-04,London Harlington,5.869565217391305,µg/m³,51.48879,-0.441614
2020-12-04,London Marylebone Road,9.916666666666666,µg/m³,51.52253,-0.154611
2020-12-04,London N. Kensington,5.75,µg/m³,51.52105,-0.213492
2020-12-04,London Teddington Bushy Park,7.636363636363637,µg/m³,51.425286,-0.345606
